user_id,created_at
1987147481,Mon Mar 13 22:59:12 2017
2267532585,Mon Mar 13 21:24:26 2017
2783900754,Mon Mar 13 19:34:46 2017
3277378470,Mon Mar 13 19:08:49 2017
1342450087,Mon Mar 13 17:49:24 2017
2267532585,Mon Mar 13 17:23:01 2017
1864594721,Mon Mar 13 17:11:36 2017
2267532585,Mon Mar 13 15:14:39 2017
6163351076,Mon Mar 13 14:28:30 2017
2267532585,Mon Mar 13 14:12:55 2017
6146070786,Mon Mar 13 14:09:30 2017
8635075681,Mon Mar 13 13:59:36 2017
9742512811,Mon Mar 13 13:57:43 2017
3792548812,Mon Mar 13 13:50:08 2017
8015595324,Mon Mar 13 13:23:13 2017
4899790525,Mon Mar 13 12:43:31 2017
2267532585,Mon Mar 13 11:49:45 2017
1924084892,Mon Mar 13 11:14:18 2017
8144599994,Mon Mar 13 10:43:12 2017
3113169217,Mon Mar 13 10:42:40 2017
2869741103,Mon Mar 13 10:32:51 2017
1061787307,Mon Mar 13 09:43:34 2017
1342450087,Mon Mar 13 07:03:29 2017
1342450087,Sun Mar 12 23:56:24 2017
1342450087,Sun Mar 12 23:54:54 2017
1745937690,Sun Mar 12 20:32:38 2017
5796248293,Sun Mar 12 17:58:09 2017
8961704246,Sun Mar 12 11:04:54 2017
8961704246,Sun Mar 12 11:04:28 2017
8961704246,Sun Mar 12 10:46:06 2017
8961704246,Sun Mar 12 10:42:42 2017
8961704246,Sun Mar 12 10:38:33 2017
6136503362,Sun Mar 12 10:35:48 2017
8961704246,Sun Mar 12 10:32:10 2017
8961704246,Sun Mar 12 10:27:09 2017
1781494604,Sun Mar 12 10:12:33 2017
8031052888,Sun Mar 12 10:05:48 2017
8961704246,Sun Mar 12 08:31:44 2017
8961704246,Sun Mar 12 08:29:35 2017
2861865459,Sun Mar 12 02:08:07 2017
6005482520,Sat Mar 11 23:41:50 2017
8961704246,Sat Mar 11 21:35:38 2017
8961704246,Sat Mar 11 21:15:36 2017
7258001139,Sat Mar 11 20:39:25 2017
8961704246,Sat Mar 11 19:57:22 2017
8961704246,Sat Mar 11 19:55:54 2017
8961704246,Sat Mar 11 19:53:08 2017
8961704246,Sat Mar 11 19:45:34 2017
8961704246,Sat Mar 11 19:44:48 2017
8961704246,Sat Mar 11 19:43:34 2017
8961704246,Sat Mar 11 19:38:44 2017
8961704246,Sat Mar 11 19:29:19 2017
8961704246,Sat Mar 11 19:24:57 2017
8961704246,Sat Mar 11 19:20:23 2017
8961704246,Sat Mar 11 19:18:54 2017
8961704246,Sat Mar 11 19:17:42 2017
8961704246,Sat Mar 11 19:14:33 2017
8961704246,Sat Mar 11 19:08:38 2017
8961704246,Sat Mar 11 19:07:11 2017
8961704246,Sat Mar 11 17:14:48 2017
1781494604,Sat Mar 11 16:56:23 2017
1781494604,Sat Mar 11 16:55:29 2017
1781494604,Sat Mar 11 16:48:20 2017
8961704246,Sat Mar 11 16:47:49 2017
1781494604,Sat Mar 11 16:47:00 2017
8961704246,Sat Mar 11 16:31:15 2017
8961704246,Sat Mar 11 16:29:05 2017
9962554712,Sat Mar 11 15:14:51 2017
8961704246,Sat Mar 11 12:13:55 2017
8961704246,Sat Mar 11 12:11:21 2017
6477256060,Sat Mar 11 12:01:59 2017
8961704246,Sat Mar 11 11:20:58 2017
3318745998,Sat Mar 11 09:27:00 2017
8961704246,Sat Mar 11 08:32:49 2017
9544650180,Sat Mar 11 07:46:04 2017
1810300171,Sat Mar 11 07:03:22 2017
1732505449,Sat Mar 11 04:32:04 2017
1304843196,Fri Mar 10 23:18:58 2017
2267532585,Fri Mar 10 23:07:30 2017
7495460786,Fri Mar 10 23:05:16 2017
2012052504,Fri Mar 10 22:40:22 2017
5866067799,Fri Mar 10 22:35:57 2017
6328599519,Fri Mar 10 22:31:48 2017
1296494925,Fri Mar 10 22:31:02 2017
2350003510,Fri Mar 10 22:19:45 2017
1287305957,Fri Mar 10 22:02:43 2017
1437357120,Fri Mar 10 20:04:44 2017
7564860011,Fri Mar 10 20:02:49 2017
2192713323,Fri Mar 10 19:54:46 2017
7166856089,Fri Mar 10 19:50:41 2017
2958707146,Fri Mar 10 19:43:37 2017
2267532585,Fri Mar 10 19:31:46 2017
2192713323,Fri Mar 10 19:31:16 2017
2192713323,Fri Mar 10 19:24:01 2017
6997835412,Fri Mar 10 19:20:39 2017
2363028132,Fri Mar 10 19:16:24 2017
1659268217,Fri Mar 10 19:12:51 2017
6860712691,Fri Mar 10 19:06:55 2017
6860712691,Fri Mar 10 19:05:25 2017
7349638294,Fri Mar 10 18:44:56 2017
5155027428,Fri Mar 10 18:42:52 2017
5155027428,Fri Mar 10 18:41:06 2017
8040597803,Fri Mar 10 18:40:14 2017
1810300171,Fri Mar 10 18:38:47 2017
1810300171,Fri Mar 10 18:36:34 2017
7571803262,Fri Mar 10 16:47:31 2017
1815575197,Fri Mar 10 16:24:54 2017
1781494604,Fri Mar 10 15:46:32 2017
1781494604,Fri Mar 10 15:36:22 2017
8961704246,Fri Mar 10 15:24:06 2017
8063060188,Fri Mar 10 15:15:50 2017
1829286398,Fri Mar 10 14:33:41 2017
7488950929,Fri Mar 10 14:19:55 2017
1287305957,Fri Mar 10 13:45:19 2017
8729104107,Fri Mar 10 13:04:48 2017
9190814161,Fri Mar 10 11:08:21 2017
8961704246,Fri Mar 10 10:57:33 2017
8961704246,Fri Mar 10 10:44:28 2017
8907046058,Fri Mar 10 09:58:14 2017
2004415481,Fri Mar 10 09:29:26 2017
2267532585,Fri Mar 10 08:01:43 2017
7564860011,Fri Mar 10 07:22:16 2017
1907739089,Thu Mar  9 21:54:34 2017
3652127881,Thu Mar  9 21:53:55 2017
1907739089,Thu Mar  9 21:53:41 2017
1907739089,Thu Mar  9 21:51:19 2017
8961704246,Thu Mar  9 20:33:19 2017
2929079241,Thu Mar  9 20:26:00 2017
7359112411,Thu Mar  9 20:16:29 2017
3826562538,Thu Mar  9 18:26:54 2017
6632749772,Thu Mar  9 18:17:06 2017
7686197329,Thu Mar  9 18:14:21 2017
6698633141,Thu Mar  9 17:57:06 2017
8729104107,Thu Mar  9 17:50:05 2017
5561055729,Thu Mar  9 17:47:11 2017
5561055729,Thu Mar  9 17:43:02 2017
5561055729,Thu Mar  9 17:38:35 2017
4985784194,Thu Mar  9 17:34:30 2017
3960392225,Thu Mar  9 16:16:27 2017
4949380365,Thu Mar  9 13:38:47 2017
7355067183,Thu Mar  9 13:35:13 2017
3485325889,Thu Mar  9 12:08:28 2017
8579415948,Thu Mar  9 11:02:27 2017
5452031236,Thu Mar  9 08:48:17 2017
4198100424,Thu Mar  9 08:29:47 2017
1836789321,Thu Mar  9 08:23:17 2017
9744463503,Wed Mar  8 23:18:53 2017
3351912403,Wed Mar  8 22:51:15 2017
8961704246,Wed Mar  8 22:46:33 2017
8961704246,Wed Mar  8 22:41:25 2017
2012052504,Wed Mar  8 22:23:50 2017
3288261856,Wed Mar  8 21:49:37 2017
7551084430,Wed Mar  8 20:56:40 2017
5014463162,Wed Mar  8 20:21:43 2017
8961704246,Wed Mar  8 20:16:34 2017
8961704246,Wed Mar  8 19:54:54 2017
8961704246,Wed Mar  8 17:30:14 2017
8961704246,Wed Mar  8 17:24:38 2017
8961704246,Wed Mar  8 17:10:38 2017
2267532585,Wed Mar  8 14:15:30 2017
2012052504,Wed Mar  8 13:50:25 2017
9173951533,Wed Mar  8 13:09:27 2017
8961704246,Wed Mar  8 12:13:38 2017
9890355273,Wed Mar  8 11:36:44 2017
6815845163,Wed Mar  8 11:23:48 2017
2869741103,Wed Mar  8 11:16:00 2017
6863665231,Wed Mar  8 10:58:13 2017
2192713323,Wed Mar  8 10:32:19 2017
6722146634,Wed Mar  8 10:19:16 2017
5796248293,Wed Mar  8 10:06:30 2017
7554809461,Wed Mar  8 09:11:51 2017
5040672934,Wed Mar  8 09:09:35 2017
6859684545,Wed Mar  8 09:02:45 2017
6108186643,Wed Mar  8 08:49:13 2017
2012052504,Wed Mar  8 08:43:12 2017
6636106114,Wed Mar  8 08:31:16 2017
8961704246,Wed Mar  8 08:17:18 2017
8961704246,Wed Mar  8 08:15:01 2017
6815845163,Wed Mar  8 01:48:25 2017
3684112898,Wed Mar  8 00:33:23 2017
5796248293,Tue Mar  7 21:33:39 2017
2012052504,Tue Mar  7 21:33:30 2017
8961704246,Tue Mar  7 21:05:40 2017
8961704246,Tue Mar  7 21:02:04 2017
8961704246,Tue Mar  7 20:06:38 2017
8961704246,Tue Mar  7 19:04:45 2017
8961704246,Tue Mar  7 18:52:03 2017
8961704246,Tue Mar  7 18:50:13 2017
8961704246,Tue Mar  7 18:44:41 2017
8961704246,Tue Mar  7 18:40:24 2017
8961704246,Tue Mar  7 18:38:43 2017
8961704246,Tue Mar  7 18:38:10 2017
8961704246,Tue Mar  7 18:37:24 2017
3271244165,Tue Mar  7 18:00:17 2017
8961704246,Tue Mar  7 17:59:53 2017
2869741103,Tue Mar  7 17:36:58 2017
8961704246,Tue Mar  7 17:27:09 2017
8961704246,Tue Mar  7 17:21:44 2017
5171159182,Tue Mar  7 16:26:56 2017
8961704246,Tue Mar  7 15:48:14 2017
8961704246,Tue Mar  7 15:47:54 2017
8961704246,Tue Mar  7 15:47:42 2017
5059859419,Tue Mar  7 15:29:04 2017
3792548812,Tue Mar  7 14:37:08 2017
5354958487,Tue Mar  7 13:58:07 2017
1836789321,Tue Mar  7 11:58:00 2017
8961704246,Tue Mar  7 11:46:43 2017
2207382694,Tue Mar  7 11:26:24 2017
8961704246,Tue Mar  7 10:42:45 2017
1364132942,Tue Mar  7 10:33:49 2017
6252480884,Tue Mar  7 09:53:44 2017
8961704246,Tue Mar  7 08:39:24 2017
8961704246,Tue Mar  7 06:53:23 2017
3271244165,Tue Mar  7 00:27:57 2017
9962554712,Mon Mar  6 23:08:32 2017
8961704246,Mon Mar  6 22:59:24 2017
2012052504,Mon Mar  6 20:51:41 2017
1922255259,Mon Mar  6 14:36:28 2017
1895451684,Mon Mar  6 13:25:52 2017
9181336468,Mon Mar  6 13:15:07 2017
8957002310,Mon Mar  6 11:55:21 2017
8729104107,Mon Mar  6 10:42:41 2017
2192713323,Mon Mar  6 09:22:55 2017
3271244165,Mon Mar  6 00:30:02 2017
7359112411,Sun Mar  5 23:23:37 2017
2171525680,Sun Mar  5 19:50:58 2017
8961704246,Sun Mar  5 12:28:40 2017
4298920835,Sun Mar  5 10:58:35 2017
4377402803,Sun Mar  5 10:30:45 2017
8961704246,Sun Mar  5 07:53:37 2017
8195561239,Sun Mar  5 00:21:24 2017
6815845163,Sat Mar  4 23:44:47 2017
6477256060,Sat Mar  4 21:12:10 2017
8961704246,Sat Mar  4 20:30:41 2017
8961704246,Sat Mar  4 20:27:12 2017
8961704246,Sat Mar  4 20:25:54 2017
7144090397,Sat Mar  4 20:25:40 2017
8961704246,Sat Mar  4 20:23:45 2017
