user_id,created_at
1663091178,Tue Mar 14 22:01:44 2017
1663091178,Tue Mar 14 20:57:26 2017
6564054315,Tue Mar 14 16:09:59 2017
4391370551,Sun Mar  5 23:10:16 2017
9367514672,Fri Mar  3 16:13:03 2017
9367514672,Fri Mar  3 11:53:02 2017
9796081404,Fri Feb 24 16:31:54 2017
9796081404,Tue Feb 21 16:31:31 2017
6715407392,Tue Feb 21 10:02:52 2017
4412059912,Wed Feb 15 13:23:07 2017
2571631511,Fri Feb  3 20:56:54 2017
9591107638,Mon Jan 23 08:58:59 2017
1099244519,Mon Jan 23 08:35:21 2017
2228854973,Mon Jan 23 08:14:00 2017
2228854973,Sun Jan 22 20:36:06 2017
6715407392,Thu Jan 19 14:56:12 2017
1709996990,Tue Jan 17 09:40:06 2017
6715407392,Mon Jan 16 13:37:31 2017
1714392101,Sun Jan 15 17:01:43 2017
3186182376,Tue Jan 10 10:40:45 2017
1709996990,Tue Dec 27 15:20:10 2016
4235298687,Tue Dec 20 23:13:49 2016
6715407392,Wed Dec 14 11:08:40 2016
3626598692,Wed Dec 14 09:38:19 2016
5564515545,Wed Dec 14 08:47:07 2016
5198529145,Tue Dec 13 22:41:21 2016
3040516352,Tue Dec 13 20:29:16 2016
5935678287,Tue Dec 13 19:03:55 2016
2847666012,Tue Dec 13 09:48:39 2016
6618873118,Tue Dec  6 18:46:36 2016
6089013236,Wed Nov 30 19:49:45 2016
1220698046,Tue Nov 29 23:08:26 2016
2384323396,Mon Nov 14 16:38:48 2016
2294245724,Sat Nov 12 07:04:29 2016
9195148829,Fri Nov 11 14:16:08 2016
1353293895,Thu Nov 10 11:10:50 2016
9796081404,Thu Nov 10 10:30:08 2016
2384323396,Wed Nov  9 16:23:49 2016
1353293895,Mon Nov  7 17:54:44 2016
1919413479,Thu Nov  3 15:56:51 2016
1919413479,Thu Nov  3 15:50:39 2016
1919413479,Thu Nov  3 15:47:12 2016
1919413479,Thu Nov  3 15:46:16 2016
2010482451,Thu Nov  3 10:41:44 2016
1734863505,Wed Nov  2 22:22:02 2016
4273026754,Wed Nov  2 15:37:49 2016
6715407392,Wed Nov  2 10:40:41 2016
3475594561,Sun Oct 30 08:19:29 2016
9796081404,Thu Oct 27 16:31:09 2016
6109819464,Wed Oct 26 22:54:12 2016
7556344769,Mon Oct 24 20:17:51 2016
5168112720,Fri Oct 21 10:09:49 2016
5432687190,Fri Oct 21 09:03:10 2016
1303924945,Fri Oct 21 08:37:16 2016
2916118151,Fri Oct 21 07:51:33 2016
2228854973,Fri Oct 21 07:39:38 2016
4172966218,Thu Oct 20 21:56:55 2016
6520617199,Thu Oct 20 10:24:09 2016
6520617199,Fri Oct 14 14:32:21 2016
8976198079,Wed Oct 12 12:57:06 2016
7327805786,Mon Oct 10 14:03:12 2016
5945117041,Wed Sep 28 09:43:26 2016
1734863505,Mon Sep 26 18:23:49 2016
1571864121,Fri Sep 23 22:27:33 2016
6194642173,Mon Sep 19 10:48:46 2016
5781627526,Sat Sep 10 23:42:15 2016
